concept_id	count	sh	depth	pattern
411114003	2	PB	2	['116680003-PB', '116680003-PO', '127489000-SU']
411114003	2	PO	4	['116680003-PB', '116680003-PO', '127489000-SU']
411115002	2	PB	1	['116680003-PB', '116680003-PO']
411115002	2	PO	4	['116680003-PB', '116680003-PO']
411191007	2	PB	3	['116680003-PB', '116680003-PO']
411191007	2	PO	5	['116680003-PB', '116680003-PO']
411192000	2	PB	4	['116680003-PB', '116680003-PO', '127489000-SU']
411192000	2	PO	6	['116680003-PB', '116680003-PO', '127489000-SU']
411193005	2	PB	4	['116680003-PB', '116680003-PO', '127489000-SU']
411193005	2	PO	6	['116680003-PB', '116680003-PO', '127489000-SU']
411972006	2	PB	2	['116680003-PB', '116680003-PO']
411972006	2	PO	6	['116680003-PB', '116680003-PO']
412023004	2	PB	2	['116680003-PB', '116680003-PO']
412023004	2	PO	4	['116680003-PB', '116680003-PO']
412024005	2	PB	3	['116680003-PB', '116680003-PO', '127489000-SU']
412024005	2	PO	5	['116680003-PB', '116680003-PO', '127489000-SU']
412025006	2	PB	3	['116680003-PB', '116680003-PO', '127489000-SU']
412025006	2	PO	6	['116680003-PB', '116680003-PO', '127489000-SU']
429808007	2	PB	4	['116680003-PB', '116680003-PO', '127489000-SU']
429808007	2	PO	6	['116680003-PB', '116680003-PO', '127489000-SU']
437857009	2	PB	4	['116680003-PB', '116680003-PO', '127489000-SU']
437857009	2	PO	6	['116680003-PB', '116680003-PO', '127489000-SU']
